firstName,lastName,wiId,averageScore,minutesPlayed,role
Philipp,Tschauner,16010,0,0,Goalkeeper
Sergio,González Testón,279548,0,0,Defender
Lorenzo,De Silvestri,20927,33.87,2962,Defender
Raúl,Lizoáin Cruz,4350,0,0,Goalkeeper
Mikel,Balenziaga Oruesagasti,3750,8.790000000000001,1555,Defender
Luca,Mora,22864,0.5700000000000001,934,Midfielder
Ramy,Bensebaini,334720,28.84,2342,Defender
Nikola,Vlašić,284476,2.34,572,Midfielder
George,Gope-Fenepej,132972,0.11,38,Forward
Mame Biram,Diouf,15054,37.559999999999995,2633,Forward
Henri,Saivet,25604,1.9800000000000002,83,Midfielder
Dujon,Sterling,346135,0,0,Defender
Florian,Niederlechner,15503,8.67,701,Forward
Pedro,Lomba Neto,496823,0,0,Forward
Noë,Dussenne,37959,0,82,Defender
Sergio,Postigo Redondo,3496,19.78,2415,Defender
Jonathan,Tinhan,26006,0,58,Forward
Nacer,Chadli,261,7.780000000000001,577,Midfielder
Matheus,Pereira da Silva,363991,0,0,Midfielder
Makan,Macalou,265128,0,0,Forward
Yuto,Nagatomo,20517,7.970000000000001,1137,Defender
Jason,Denayer,278872,0.8500000000000001,90,Defender
Weston ,McKennie,471348,5.24,1235,Midfielder
Nemanja,Matić,70122,38.82,3389,Midfielder
Danijel,Subašić,135747,0,0,Goalkeeper
Davide,Zappacosta,22889,10.6,1172,Defender
Séamus,Coleman,8240,14.349999999999996,1396,Defender
Daryl,Murphy,8603,1.46,135,Forward
Marvin,Compper,15800,1.69,90,Defender
Davide,Borsellini,393566,0,0,Goalkeeper
Andrea,Consigli,20832,0,0,Goalkeeper
Bakary,Sako,25865,7.180000000000001,433,Midfielder
Danijel,Miličević,37796,7.9399999999999995,709,Midfielder
Matt,Ritchie,9227,21.72,2809,Midfielder
Yannis,Clementia,367041,0,0,Goalkeeper
Anwar,El Ghazi,286553,47.169999999999995,1636,Forward
Mario,Hermoso Canseco,279533,21.219999999999995,1980,Defender
Rubén Iván,Martínez Andrade,3554,0,0,Goalkeeper
Marc,Muniesa Martínez,3340,13.0,1129,Defender
Pio Francesco,Russo,535738,0,0,Midfielder
Serge,Aurier,25785,12.86,1449,Defender
Ogenyi Eddy,Onazi,139548,0,0,Midfielder
Tashan,Oakley-Boothe,447965,0,0,Midfielder
Héctor,Bellerín Moruno,167145,29.020000000000007,3051,Defender
Viktor,Claesson,51144,6.08,434,Midfielder
Rubén,Blanco Veiga,3822,0,0,Goalkeeper
Trent,Alexander-Arnold,346101,4.36,1654,Defender
Faustino Marcos Alberto,Rojo,101652,17.21,868,Defender
Yannick,Ferreira Carrasco,134769,30.64,1341,Forward
Habibou Mouhamadou,Diallo,294697,0,0,Forward
Ramin,Rezaeian,79098,0.02,270,Defender
William,de Asevedo Furtado,343685,6.0600000000000005,1611,Defender
Rafał,Gikiewicz,99749,0,0,Goalkeeper
Erick Javier,Davis Grajales,116364,0.97,180,Defender
Michael Amir,Murillo Bermudez,361498,0,180,Defender
Marco,Reus,15024,22.650000000000002,1146,Forward
